Finding ID,Scanner,Rule ID,File,Line,Severity,Description,Resolution,Justification
B310,Bandit,B310,aha_eventbridge_lambda/jira_client.py,85,WARNING,Audit url open for permitted schemes,Accepted - HTTPS validation added at runtime,Bandit cannot detect runtime URL scheme validation; constructor enforces https:// prefix
B310,Bandit,B310,aha_eventbridge_lambda/jira_client.py,103,WARNING,Audit url open for permitted schemes,Accepted - HTTPS validation added at runtime,Same as above - all URLs constructed from validated base_url
B310,Bandit,B310,routing_config_lambda/slack_notifier.py,76,WARNING,Audit url open for permitted schemes,Accepted - HTTPS validation added at runtime,Function validates webhook_url.startswith('https://') before urlopen
B310,Bandit,B310,routing_config_lambda/slack_notifier.py,124,WARNING,Audit url open for permitted schemes,Accepted - HTTPS validation added at runtime,Function validates webhook_url.startswith('https://') before urlopen
dynamic-urllib-use-detected,Semgrep,dynamic-urllib-use-detected,aha_eventbridge_lambda/jira_client.py,85,WARNING,Dynamic value used with urllib,Accepted - HTTPS validation added at runtime,URL constructed from validated base_url (https:// enforced in constructor)
dynamic-urllib-use-detected,Semgrep,dynamic-urllib-use-detected,aha_eventbridge_lambda/jira_client.py,103,WARNING,Dynamic value used with urllib,Accepted - HTTPS validation added at runtime,URL constructed from validated base_url (https:// enforced in constructor)
dynamic-urllib-use-detected,Semgrep,dynamic-urllib-use-detected,routing_config_lambda/slack_notifier.py,76,WARNING,Dynamic value used with urllib,Accepted - HTTPS validation added at runtime,webhook_url validated to start with https:// before use
dynamic-urllib-use-detected,Semgrep,dynamic-urllib-use-detected,routing_config_lambda/slack_notifier.py,124,WARNING,Dynamic value used with urllib,Accepted - HTTPS validation added at runtime,webhook_url validated to start with https:// before use
CKV_AWS_117,Checkov,CKV_AWS_117,infra/template.yaml,172,WARNING,Lambda function not configured inside a VPC,Accepted - not required,Lambdas only call public AWS APIs (SNS/SES/DynamoDB/Bedrock); no private resources to access
CKV_AWS_117,Checkov,CKV_AWS_117,infra/template.yaml,243,WARNING,Lambda function not configured inside a VPC,Accepted - not required,Same as above
CKV_AWS_117,Checkov,CKV_AWS_117,aha_eventbridge_lambda/template.yaml,235,WARNING,Lambda function not configured inside a VPC,Accepted - not required,Same as above
CKV_AWS_117,Checkov,CKV_AWS_117,aha_eventbridge_lambda/template.yaml,314,WARNING,Lambda function not configured inside a VPC,Accepted - not required,Same as above
CKV_AWS_117,Checkov,CKV_AWS_117,aha_eventbridge_lambda/template.yaml,421,WARNING,Lambda function not configured inside a VPC,Accepted - not required,Same as above
CKV_AWS_173,Checkov,CKV_AWS_173,infra/template.yaml,172,WARNING,Lambda environment variable encryption,Accepted - SAM limitation,SAM Serverless::Function does not support KmsKeyArn for env var encryption; secrets stored in Secrets Manager not env vars
